Fetching 5 files:   0%|          | 0/5 [00:00<?, ?it/s]Fetching 5 files: 100%|██████████| 5/5 [00:00<00:00, 820.80it/s]
train: 10674 items, 3 epochs, 999 updates, micro 8 x accum 4
  epoch 3/3 step 800/1335 loss -0.4764 ce 0.1307 reward 0.596 lr 2.00e-06 47.5 min, 0.82 s/step
  epoch 3/3 step 850/1335 loss 2.5254 ce 2.3972 reward -1.222 lr 1.83e-06 48.1 min, 0.82 s/step
  epoch 3/3 step 900/1335 loss 3.5763 ce 3.2136 reward -1.610 lr 1.66e-06 48.7 min, 0.82 s/step
  epoch 3/3 step 950/1335 loss 1.6520 ce 1.5070 reward -1.002 lr 1.52e-06 49.3 min, 0.82 s/step
  epoch 3/3 step 1000/1335 loss 0.0357 ce 0.2405 reward 0.426 lr 1.39e-06 49.9 min, 0.82 s/step
  epoch 3/3 step 1050/1335 loss 2.1810 ce 0.9450 reward -0.277 lr 1.28e-06 50.7 min, 0.82 s/step
  epoch 3/3 step 1100/1335 loss -0.1302 ce 0.1053 reward 0.627 lr 1.19e-06 51.3 min, 0.82 s/step
  epoch 3/3 step 1150/1335 loss -0.0620 ce 0.0000 reward 0.750 lr 1.11e-06 52.0 min, 0.82 s/step
  epoch 3/3 step 1200/1335 loss 0.1010 ce 0.0539 reward 0.687 lr 1.06e-06 52.7 min, 0.82 s/step
  epoch 3/3 step 1250/1335 loss 0.0791 ce 0.3939 reward 0.252 lr 1.02e-06 53.2 min, 0.81 s/step
  epoch 3/3 step 1300/1335 loss -0.0215 ce 0.0000 reward 0.750 lr 1.00e-06 53.7 min, 0.81 s/step
=== epoch 3 done, avg loss 0.4471, 54.3 min ===
calibrating temperatures
temperatures (choice, score, noul): [3.682, 1.425, 4.681]
saved to /work/out/laya-th after 54.7 min
