Fetching 5 files:   0%|          | 0/5 [00:00<?, ?it/s]Fetching 5 files: 100%|██████████| 5/5 [00:00<00:00, 619.47it/s]
train: 47379 items, 2 epochs, 2960 updates, micro 8 x accum 4
  epoch 1/2 step 4600/5923 loss -0.1038 ce 0.4042 reward 0.087 lr 1.71e-05 37.9 min, 0.49 s/step
  epoch 1/2 step 4650/5923 loss -0.1223 ce 0.3384 reward 0.236 lr 1.70e-05 38.3 min, 0.49 s/step
  epoch 1/2 step 4700/5923 loss 1.0740 ce 0.9909 reward -0.521 lr 1.68e-05 38.7 min, 0.49 s/step
  epoch 1/2 step 4750/5923 loss 0.6336 ce 0.4936 reward 0.125 lr 1.67e-05 39.1 min, 0.49 s/step
  epoch 1/2 step 4800/5923 loss 0.3781 ce 0.4726 reward 0.101 lr 1.65e-05 39.5 min, 0.49 s/step
  epoch 1/2 step 4850/5923 loss 0.9690 ce 0.9708 reward -0.461 lr 1.64e-05 39.9 min, 0.49 s/step
  epoch 1/2 step 4900/5923 loss 0.4122 ce 0.6308 reward -0.183 lr 1.62e-05 40.3 min, 0.49 s/step
  epoch 1/2 step 4950/5923 loss 0.8137 ce 0.8707 reward -0.329 lr 1.61e-05 40.7 min, 0.49 s/step
  epoch 1/2 step 5000/5923 loss 0.1583 ce 0.3580 reward 0.265 lr 1.59e-05 41.1 min, 0.49 s/step
  epoch 1/2 step 5050/5923 loss -0.5944 ce 0.4470 reward 0.167 lr 1.58e-05 41.6 min, 0.49 s/step
  epoch 1/2 step 5100/5923 loss 0.2793 ce 0.8540 reward -0.340 lr 1.56e-05 42.1 min, 0.50 s/step
  epoch 1/2 step 5150/5923 loss 0.0916 ce 0.2107 reward 0.445 lr 1.54e-05 42.5 min, 0.49 s/step
  epoch 1/2 step 5200/5923 loss 0.6466 ce 0.4177 reward 0.230 lr 1.53e-05 42.9 min, 0.50 s/step
  epoch 1/2 step 5250/5923 loss 0.3572 ce 0.4538 reward 0.167 lr 1.51e-05 43.3 min, 0.49 s/step
  epoch 1/2 step 5300/5923 loss 0.3824 ce 0.4658 reward 0.161 lr 1.50e-05 43.7 min, 0.49 s/step
  epoch 1/2 step 5350/5923 loss 0.5288 ce 0.7612 reward -0.279 lr 1.48e-05 44.0 min, 0.49 s/step
  epoch 1/2 step 5400/5923 loss 0.4948 ce 0.5571 reward 0.040 lr 1.47e-05 44.4 min, 0.49 s/step
  epoch 1/2 step 5450/5923 loss -0.2079 ce 0.5776 reward -0.091 lr 1.45e-05 44.8 min, 0.49 s/step
  epoch 1/2 step 5500/5923 loss 0.2727 ce 0.5166 reward 0.078 lr 1.43e-05 45.2 min, 0.49 s/step
  epoch 1/2 step 5550/5923 loss 0.5875 ce 0.6002 reward -0.004 lr 1.42e-05 45.6 min, 0.49 s/step
  epoch 1/2 step 5600/5923 loss 0.5199 ce 0.5583 reward -0.033 lr 1.40e-05 46.1 min, 0.49 s/step
  epoch 1/2 step 5650/5923 loss 0.4244 ce 0.3682 reward 0.290 lr 1.39e-05 46.6 min, 0.49 s/step
  epoch 1/2 step 5700/5923 loss 0.2397 ce 0.3566 reward 0.312 lr 1.37e-05 47.0 min, 0.49 s/step
  epoch 1/2 step 5750/5923 loss -0.0424 ce 0.4778 reward 0.112 lr 1.35e-05 47.4 min, 0.50 s/step
  epoch 1/2 step 5800/5923 loss 0.4226 ce 0.6480 reward -0.094 lr 1.34e-05 47.8 min, 0.49 s/step
  epoch 1/2 step 5850/5923 loss 0.4331 ce 0.5873 reward -0.051 lr 1.32e-05 48.3 min, 0.50 s/step
  epoch 1/2 step 5900/5923 loss 0.5905 ce 0.9731 reward -0.563 lr 1.31e-05 48.7 min, 0.50 s/step
=== epoch 1 done, avg loss 0.5036, 48.9 min ===
  epoch 2/2 step 50/5923 loss 0.2429 ce 0.5602 reward 0.057 lr 1.28e-05 49.5 min, 0.50 s/step
  epoch 2/2 step 100/5923 loss 0.7839 ce 0.7658 reward -0.209 lr 1.27e-05 49.9 min, 0.50 s/step
  epoch 2/2 step 150/5923 loss 0.6036 ce 0.6192 reward -0.014 lr 1.25e-05 50.3 min, 0.50 s/step
  epoch 2/2 step 200/5923 loss 0.4925 ce 0.6607 reward -0.128 lr 1.24e-05 50.7 min, 0.50 s/step
  epoch 2/2 step 250/5923 loss 0.4859 ce 0.4061 reward 0.239 lr 1.22e-05 51.1 min, 0.50 s/step
  epoch 2/2 step 300/5923 loss 0.6214 ce 0.4293 reward 0.240 lr 1.20e-05 51.5 min, 0.50 s/step
  epoch 2/2 step 350/5923 loss 0.4444 ce 0.5380 reward 0.077 lr 1.19e-05 52.0 min, 0.50 s/step
  epoch 2/2 step 400/5923 loss 0.0737 ce 0.5840 reward 0.035 lr 1.17e-05 52.5 min, 0.50 s/step
  epoch 2/2 step 450/5923 loss 0.4381 ce 0.4371 reward 0.205 lr 1.16e-05 52.9 min, 0.50 s/step
  epoch 2/2 step 500/5923 loss 0.3541 ce 0.3632 reward 0.282 lr 1.14e-05 53.3 min, 0.50 s/step
  epoch 2/2 step 550/5923 loss 0.4815 ce 0.2725 reward 0.438 lr 1.12e-05 53.7 min, 0.50 s/step
  epoch 2/2 step 600/5923 loss 1.5249 ce 1.1499 reward -0.654 lr 1.11e-05 54.1 min, 0.50 s/step
  epoch 2/2 step 650/5923 loss 0.1529 ce 0.3162 reward 0.378 lr 1.09e-05 54.5 min, 0.50 s/step
  epoch 2/2 step 700/5923 loss 0.2681 ce 0.4774 reward 0.165 lr 1.08e-05 54.9 min, 0.50 s/step
  epoch 2/2 step 750/5923 loss 0.8421 ce 0.6952 reward -0.149 lr 1.06e-05 55.3 min, 0.50 s/step
  epoch 2/2 step 800/5923 loss 0.9534 ce 0.7836 reward -0.235 lr 1.05e-05 55.6 min, 0.50 s/step
  epoch 2/2 step 850/5923 loss 0.1979 ce 0.5890 reward -0.030 lr 1.03e-05 56.1 min, 0.50 s/step
  epoch 2/2 step 900/5923 loss 0.4656 ce 0.4922 reward 0.129 lr 1.01e-05 56.5 min, 0.50 s/step
  epoch 2/2 step 950/5923 loss 0.4966 ce 0.5321 reward 0.103 lr 1.00e-05 56.9 min, 0.50 s/step
  epoch 2/2 step 1000/5923 loss 0.6513 ce 0.4952 reward 0.105 lr 9.84e-06 57.4 min, 0.50 s/step
  epoch 2/2 step 1050/5923 loss 1.0218 ce 0.6568 reward -0.098 lr 9.69e-06 57.9 min, 0.50 s/step
  epoch 2/2 step 1100/5923 loss 0.6276 ce 0.6593 reward -0.092 lr 9.53e-06 58.3 min, 0.50 s/step
  epoch 2/2 step 1150/5923 loss 0.2016 ce 0.5096 reward 0.110 lr 9.39e-06 58.6 min, 0.50 s/step
  epoch 2/2 step 1200/5923 loss 0.8596 ce 0.7281 reward -0.176 lr 9.23e-06 59.1 min, 0.50 s/step
  epoch 2/2 step 1250/5923 loss 0.4820 ce 0.5993 reward -0.010 lr 9.09e-06 59.5 min, 0.50 s/step
  epoch 2/2 step 1300/5923 loss 0.2109 ce 0.3181 reward 0.373 lr 8.93e-06 60.0 min, 0.50 s/step
  epoch 2/2 step 1350/5923 loss 1.2177 ce 0.7924 reward -0.262 lr 8.79e-06 60.3 min, 0.50 s/step
  epoch 2/2 step 1400/5923 loss 0.4313 ce 0.4465 reward 0.208 lr 8.63e-06 60.7 min, 0.50 s/step
  epoch 2/2 step 1450/5923 loss 0.5546 ce 0.6383 reward -0.061 lr 8.49e-06 61.2 min, 0.50 s/step
